tic,n_events_ge2,max_event_snr,period_fap,tls_sde,ra,dec,Tmag,Teff,rad
219337000,4,3.809104633098456,0.0869130869130869,6.710780420279979,354.311047406143,-56.0969709901982,9.0173,5457.9,1.37325
220430530,6,2.6011650915936757,0.5974025974025974,5.78891797376607,73.1448380746117,-54.3265054679379,8.3098,6570.0,1.82479
219342752,34,4.184703758949854,0.985014985014985,6.362358852115183,355.250084922047,-54.1186372660953,11.956,3661.0,0.529181
220455309,3,3.0515236932530936,0.1718281718281718,4.393057464831902,74.1651833652502,-54.6113466838287,8.8419,6230.4,1.70762
220459040,10,3.598706689332309,0.8561438561438561,3.7677588395853054,74.5474978640136,-54.4722168644413,13.0665,3369.0,0.452122
220407530,18,3.3033109137560936,0.8011988011988012,0.0,70.3466026346875,-57.9257895986793,14.0583,3277.0,0.314851
220413881,21,3.118552148561452,0.1128871128871128,6.41621685994869,71.1312472323488,-56.2884008252162,9.3809,6431.0,1.27402
220407099,9,4.983980950651792,0.3086913086913087,4.117605802036608,70.3261981597266,-56.3953363974177,10.5117,5269.0,0.793105
220482148,4,2.6384611042129436,0.1848151848151848,6.033546696627116,342.879999465872,-57.1625588938931,9.2693,6161.0,1.22553
220436741,19,3.168391261282746,0.1888111888111888,8.715791859102604,73.8134456768872,-56.7743346503453,9.7215,5910.66,2.1221
220485705,12,3.230540707848648,0.0599400599400599,6.129387760475815,343.602510211455,-54.4043231664503,11.2976,3992.0,0.524476
220491450,8,3.4137453159241073,0.4255744255744256,6.72393379132117,344.31768212368,-55.0703808126011,11.8341,3886.0,0.575211
220595865,10,3.48292773390951,0.1068931068931069,4.953496816022228,16.5146665373426,-50.1781164459497,9.9084,5786.5,1.17855
224284606,10,2.8985621656962786,0.6043956043956044,5.0592078723742775,356.498753869217,-37.9758530520744,8.0178,6746.0,3.20141
224281107,18,3.867744233894472,0.4095904095904096,4.744354203148744,355.876637971343,-38.0382469316032,10.9589,5309.5,0.893434
224278972,16,3.4866424372604397,0.7662337662337663,5.547838185826084,355.583878548418,-38.32869061699,14.0153,2972.0,0.169505
228382006,9,2.7420320613676226,0.2687312687312687,8.180175116406325,357.615346810649,-14.9837094356733,7.32611,7975.0,1.58829
228507309,0,,,10.635297825934565,358.211154088784,-16.0193776792404,11.7407,3302.0,0.506089
228507387,15,3.4340259509695423,0.4665334665334665,5.2696901112568675,358.127271832504,-14.0972149840056,9.70452,5383.0,0.96545
228383297,15,3.5425303964187993,0.7322677322677322,5.4370868776457035,357.528011184912,-16.2198239503739,10.4211,5142.0,0.975613
228569826,9,3.2784540395538686,0.0619380619380619,4.522330704156,358.438616825932,-15.865084619285,9.61287,6312.0,1.22773
228613048,0,,,4.398336280235135,358.751629642682,-17.7973355457456,10.1849,5796.0,0.949287
229012749,17,3.711951041561639,0.6703296703296703,4.444136254909566,1.72381889623951,-19.6579053796444,14.8291,3352.0,0.275011
229053359,0,,,5.707035538898989,331.634347262741,-30.0402422036237,9.00087,6491.4,1.87897
220431435,43,3.974772365782135,0.7262737262737263,8.193229701500451,73.2142461662538,-57.4565659168164,9.017,5748.4,1.27467
229051080,9,6.291188005402631,0.2277722277722277,5.504343414007599,331.559480575079,-33.8208415137914,9.8972,5729.0,1.21582
229112415,13,3.961487150465784,0.4765234765234765,5.901135147630584,17.594598979677,-52.4258904602474,11.0081,5177.0,1.20332
231009108,7,2.760332892600663,0.2667332667332667,4.142892093071879,25.6542268961026,-58.4131452945273,7.762,5727.55,0.898182
220405171,45,4.2208782383234995,0.5754245754245755,5.967595707124303,70.0978017615219,-58.4290044133669,11.3389,5431.17,0.912272
230983203,14,3.627563906869403,0.1758241758241758,5.7588458038522035,24.5438813962475,-57.6310464350284,10.0866,5567.0,0.949855
220421994,33,3.811713937914865,0.0929070929070929,5.908139129797751,72.095762397569,-58.6876309165323,10.9334,4311.0,0.749058
231044412,21,3.1545697652842892,0.1538461538461538,6.668193767253791,28.282033910307,-59.4125658379489,8.1497,5697.0,1.06854
231023707,34,4.6537803052221465,0.982017982017982,6.738201562457602,28.2341435422749,-55.8366956131307,11.0802,5749.0,0.900586
231045282,24,3.923520674422998,0.4415584415584415,6.9129471073960245,28.5382105628753,-56.0305920528935,9.2015,5968.45,1.69683
231268284,8,2.891680705324696,0.2347652347652347,5.165623178432972,334.7521737362,-52.2234704053078,9.1286,5870.5,1.30881
231627272,6,2.7136501012830663,0.3496503496503496,5.226997932127307,316.97298240743,-56.6359748542923,8.0097,6482.76,3.26094
231048679,21,3.934384864455005,0.5264735264735265,5.607250247979986,29.1509137572243,-55.7041794972296,10.2782,5214.0,0.83029
231057252,24,2.8133069093828,0.5224775224775224,17.73267755142783,30.4125920521812,-59.8095840943904,13.5796,3057.0,0.186486
231627290,13,3.013523659671252,0.1608391608391608,4.504539104764413,316.904304867573,-56.6789167642944,10.2289,6465.4,1.07034
231636691,7,3.1683025289452127,0.1318681318681318,5.172427227641346,317.952842376198,-57.8201998722023,10.5326,5008.0,0.672118
231630959,5,2.6765330350906593,0.2967032967032967,4.131575029167468,317.502812538461,-54.4066474722438,10.0142,6142.0,4.77783
231668630,11,3.3097156301862443,0.2307692307692307,5.968674496563456,319.902027048919,-54.5589600991246,7.7015,6880.48,1.8451
231701201,6,3.5139434599119137,0.1318681318681318,6.928020264190864,333.070595629753,-54.9779700588529,8.7896,4998.0,0.790106
231704059,13,3.2915463350235115,0.2427572427572427,10.859957190448196,335.488100488228,-55.0216966132745,8.5904,7212.0,1.94768
231059941,8,2.8341631219640595,0.0859140859140859,6.21194089733195,30.9311572115368,-59.3887579018636,8.2641,6636.0,1.91481
231704229,8,4.39076608773874,0.5094905094905094,4.9604442113823355,335.567525253525,-54.5606129005689,7.6014,4077.0,0.597134
231715395,8,10.431070430205772,0.1478521478521478,6.4347117295414,352.661306369016,-55.4448415977211,10.5069,5435.0,0.789677
231825380,27,3.854068740260983,0.944055944055944,5.179271673569095,22.5931214045487,-65.0603866021569,10.2212,5461.0,0.799509
231831114,33,3.0004222675320973,0.3506493506493506,5.928413641952418,23.6874483249804,-62.5619276502321,9.5341,5984.0,1.61473
231831315,36,4.136135519304603,0.6723276723276723,5.610957857040046,23.663808351381,-61.6966883485612,12.5666,3533.0,0.438381
231832497,16,4.729769693051,0.5754245754245755,6.153785526337007,23.911299975373,-63.5223346793069,9.4665,5942.0,1.06334
231839537,13,3.0599723141861284,0.5454545454545454,6.158566745671052,25.1704227704551,-60.6796653640372,10.77,5374.0,0.799433
231840159,5,2.73971969723769,0.3706293706293706,5.886367688779506,25.3695645279104,-61.9950306420305,8.4763,6801.0,1.52165
231840839,18,3.4080250120206,0.3566433566433566,7.728225754533987,25.2835120387951,-65.0305076654206,9.6953,6135.4,1.36914
231862051,13,2.941349974234495,0.2057942057942058,6.604220383901386,29.1886579614118,-62.421053440569,11.0514,5130.0,0.739993
231853796,31,3.581641081953851,0.6743256743256744,5.225750378301785,27.7590143811115,-61.1861542112803,10.922,5582.0,1.00991
231845790,31,6.466099496763487,0.0609390609390609,7.188911452385713,26.1442783030549,-62.6905202147097,13.497,3119.0,0.233088
237340658,3,3.367439562600828,0.4155844155844156,4.902406574907334,60.0366065536253,-52.2579021892249,9.4689,5930.0,1.75645
234525922,12,3.1450839996138424,0.3496503496503496,4.857717461771056,16.118737429129,-60.4719032378587,9.6777,6290.0,1.45259
231867105,28,4.450699545155694,0.3866133866133866,6.146051080900232,6.18953046514714,-62.1283687124921,11.1983,3957.0,0.586403
231912935,31,5.162455913639346,0.7282717282717283,10.896219491835208,7.31813005718169,-63.7905978284267,10.5011,5707.0,0.96445
237356492,5,4.888419001838497,0.5504495504495505,6.209001604316455,60.9714005174972,-50.0635156928022,10.2782,5222.0,0.82417
237358181,12,3.8525512589093034,0.7042957042957043,4.845085456962731,61.2037793772495,-50.6139760145712,14.7518,2978.0,0.158408
234497476,11,2.6600304561067576,0.0089910089910089,9.616822141067216,10.7229316672939,-61.294012778075,13.1658,3049.0,0.281191
237886259,13,3.196926024107647,0.4115884115884116,5.201297647607076,20.7804623442216,-61.0414339424716,9.2773,6499.52,1.72948
234504902,33,3.7020242681354305,0.7952047952047953,5.955546649078414,12.0525295974352,-61.1751540632454,12.1539,3287.0,0.266142
240849795,14,3.132142494161623,0.1118881118881118,5.130087500048675,340.843121870282,-15.8968081346752,8.4615,7416.0,1.92755
241393007,15,3.265540322687775,0.8491508491508492,4.8234421958016735,24.5717516212087,-2.87557646594262,10.6345,5161.2,0.884754
233961272,17,2.8034219225523027,0.1748251748251748,7.231491422403304,31.7980877024582,-60.9831191521817,7.016,6254.41,1.34764
241444142,8,3.5850584762455244,0.6333666333666333,5.766492841839789,24.9684627913913,-5.7665849848659,11.4196,3975.0,0.622259
241577342,2,2.703305089140157,0.5644355644355644,5.064122360158504,25.7021133820758,-4.34441717281522,8.70609,6681.0,1.38265
241765380,11,7.203898412444621,0.7022977022977023,6.538883041108077,27.1012795862446,-5.35406137616473,9.5841,6320.0,1.6729
24186466,11,3.5268742184582664,0.5364635364635365,4.444785399347632,14.5242033438108,-11.1113901461199,8.58331,6389.0,1.44486
237879824,25,3.756756879384936,0.2357642357642357,5.4439863606951615,19.2737640029213,-61.8210403298565,9.2029,6382.0,1.54979
24225968,10,4.395132040108103,0.2477522477522477,4.50557121483247,15.080281042566,-11.5449376937875,9.87363,6143.0,1.05355
237883766,15,3.3709859720256428,0.5054945054945055,6.521951737219409,20.1329834764692,-61.3173443157764,9.0161,5797.5,1.07862
233959314,45,6.3130202950754,0.8351648351648352,5.569623379568054,31.4993389676502,-60.8925012428064,10.1437,5543.0,1.0158
24269255,8,5.090361591159803,0.3906093906093906,5.518765038287985,16.0106055106933,-8.63602359485696,9.45829,5923.0,1.12246
24270027,12,3.258154537216232,0.2387612387612387,6.58365006373628,16.1590927305062,-7.67416332500902,7.92898,6258.0,1.88598
237886434,12,3.8077412519119864,0.3156843156843157,7.846035005758285,20.5948360534161,-60.1886209729573,8.8114,6538.2,1.32794
237906842,29,4.001735298286016,0.6343656343656343,6.682429670136639,21.1300050179439,-64.6221911693056,9.7215,5587.6,1.35081
246822906,15,3.39860112410207,0.1838161838161838,5.331150712435516,4.81197074096599,-28.4888544792685,8.9306,6066.0,0.964355
246820769,18,3.3027258309833916,0.7112887112887113,7.004392608213988,4.58444527938295,-29.1307563490943,9.90931,5905.0,1.25256
246848176,3,2.613871453461092,0.4475524475524475,4.608947096594614,5.55830851570775,-25.2150525773729,8.00347,6567.0,2.21211
246851853,18,3.0657852321021535,0.2287712287712287,4.66544645105137,5.86272546725277,-26.3665235831167,10.7243,4967.0,0.788129
246848355,5,5.5766993554270305,0.2267732267732267,13.68557096663959,5.51275287031963,-26.2048543276855,10.3438,5263.0,0.823313
248380067,9,2.837538286864886,0.8471528471528471,4.523074130683048,18.4041310760293,-3.60968118534879,8.6486,6170.0,1.03984
248392812,10,3.3879406842906876,0.3046953046953047,4.145803417555471,19.8230707875352,-2.77897245253399,11.5787,3722.0,0.532874
248945424,11,3.857716649273192,0.4755244755244755,6.199229842923819,20.3549152517382,-4.57371098270409,9.91907,5965.75,1.28219
246883482,14,3.251112669957826,0.3006993006993007,6.5097385023294105,7.96317314790092,-27.8283789777483,8.8455,5238.0,0.952148
246862438,10,5.023559333823272,0.1848151848151848,5.242691617441412,7.47821420248614,-26.3908830854161,10.3471,6470.9,1.29933
246862277,16,5.685656013777816,0.4935064935064935,6.836423000430918,7.44918104662706,-27.2995108844632,12.7887,3417.0,0.38159
248946014,9,4.8207854625281215,0.5004995004995005,4.842723728652564,20.4241999633882,-3.4368192305223,7.71546,5714.0,3.00327
248947399,5,3.5172377637143657,0.5564435564435565,3.814444967735058,20.5578144844152,-4.83316144403857,9.6643,7330.0,4.02291
248949078,13,3.782586248045315,0.4275724275724276,6.188935834071899,20.8153302715717,-2.14589556320164,10.6396,3620.0,0.568635
248952560,3,2.29571684126431,0.5514485514485514,6.836190882559263,21.1252465621647,-1.44402307978995,10.283,5634.0,0.864535
248952191,8,3.3406786994193274,0.7192807192807192,4.454423779624116,21.2175925424641,-3.58381695806285,9.2369,5459.33,0.694194
248953025,10,3.181519907867171,0.6903096903096904,5.733807400579663,21.289534808719,-1.059682098695,8.4689,4728.0,0.66949
248955543,7,4.672398142505293,0.0199800199800199,4.745226064296146,21.5278255591314,-2.39068565727595,12.7324,3450.0,0.30032
248956869,7,3.0457068825221567,0.5044955044955045,6.035153352954996,21.6616860721398,-1.77906902023613,14.543,3047.0,0.18919
248959076,7,10.464094102766357,0.4745254745254745,3.6089096894643102,21.8570470266734,-1.86112403088796,9.98547,5618.0,0.93175
248987739,12,3.061968624907178,0.2377622377622377,4.151053146416859,22.9480774720253,-4.95909003700235,8.41295,6252.0,2.0081
248962024,9,3.1024635566464847,0.5104895104895105,5.216936567226148,22.3128326699642,-1.93276464103803,10.1739,5823.0,0.838604
248962582,10,3.438245767946463,0.3376623376623376,4.320212100642749,22.3021771492714,-4.96388791204735,10.7875,4117.0,0.774559
251821926,8,3.79044636766547,0.2577422577422577,5.662556998207557,5.3880455459619,-35.3605106477522,8.0524,6147.0,1.55208
251845125,16,4.375891694753235,0.1688311688311688,5.079829187620325,6.93134904778284,-32.3874696685711,8.3287,5288.52,0.834917
251828912,8,3.4487923864086305,0.2367632367632367,5.8027711723809405,6.43520465257604,-33.5771314496616,9.7024,4688.0,0.792037
251828729,6,3.147802874124172,0.4465534465534465,7.050140148906861,6.3859698427553,-32.6174874897439,9.6976,5177.0,0.796913
251840720,18,3.5282723787203447,0.4315684315684315,5.8997950936198675,6.70865590297306,-32.3378341300731,11.0061,4529.2,0.529978
251844875,18,3.4547645875166015,0.0869130869130869,6.305640107501971,6.99541934402484,-31.116575269884,14.2148,3298.0,0.413061
24696180,32,3.786422300611088,0.4125874125874126,5.35326572995163,25.134332059071,-69.9869711560525,7.9545,5901.33,1.53667
251885542,13,2.7998069607823957,0.2937062937062937,4.509183112829295,10.7459009617643,-35.314789891328,9.4538,5601.95,1.20934
251886984,11,3.412212816705258,0.2037962037962038,5.359898917161044,10.822713,-32.948296,8.8691,6344.0,1.89618
251886567,14,3.305329337326213,0.4045954045954046,4.756080385668414,10.8126439820557,-30.5075294449614,13.2891,3329.0,0.247359
251887089,16,3.638415092285211,0.7082917082917083,6.683602343237869,10.886117753222,-33.5566115090589,11.1224,4573.0,1.1235
254302983,16,3.817978492516682,0.3596403596403596,4.947144589295395,5.86780635769208,-23.2358048291689,10.2633,5185.0,0.809286
