key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match,tic,baseline,bbin,fap_lut
40046362_P1.0_R4_60,inj,True,0.5031323963243417,0.874444101284651,18.0,0.0009990009990009,8.061824935532552e-05,1.0,True,40046362,27.34682074074226,0,0.00024993751562109475
117643471_P0.5_R4_59,inj,True,0.5002806402725485,0.9901238016843856,47.0,0.0009990009990009,1e-06,0.5,True,117643471,27.407151666666323,0,0.00024993751562109475
70777408_P1.0_R4_61,inj,True,1.0026650600850333,0.7907673283185724,28.0,0.0009990009990009,4.8688275804676154e-05,1.0,True,70777408,27.407066446758108,0,0.00024993751562109475
279055830_P0.5_R4_52,inj,True,0.5000630837903488,0.9909635932726074,123.0,0.0009990009990009,1e-06,0.5,True,279055830,84.09117451388738,3,0.00024993751562109475
198077554_P1.0_R4_66,inj,True,0.5008599003125261,0.6446515129675328,17.0,0.0299700299700299,0.0160358175615509,1.0,True,198077554,27.350215393518738,0,0.04373906523369158
220405171_P0.5_R4_53,inj,True,0.5004867604364115,0.9296360144661232,128.0,0.0009990009990009,1e-06,0.5,True,220405171,84.0914424189832,3,0.00024993751562109475
89018360_P1.0_R4_63,inj,True,0.5011935776799232,0.753009101296478,31.0,0.0009990009990009,4.21503082486463e-05,1.0,True,89018360,27.883506377314916,0,0.00024993751562109475
231862051_P1.0_R4_64,inj,True,0.5011173409480697,0.8555277120779088,29.0,0.0009990009990009,1e-06,1.0,True,231862051,27.40685187499912,0,0.00024993751562109475
120461410_P1.0_R4_65,inj,True,0.5010078212943868,0.8209752711919394,30.0,0.0009990009990009,1e-06,1.0,True,120461410,27.406944189817295,0,0.00024993751562109475
136842674_P1.0_R4_71,inj,True,0.5009440158596324,0.7124262372098286,22.0,0.0019980019980019,0.0114929821417044,1.0,True,136842674,27.350244629626104,0,0.00024993751562109475
402041756_P1.0_R4_67,inj,True,0.5011479605536439,0.868182943070192,27.0,0.0009990009990009,1.404514206228594e-06,1.0,True,402041756,27.407013240743254,0,0.00024993751562109475
251844875_P1.0_R4_69,inj,True,1.008189050967299,0.5442206510524098,23.0,0.0359640359640359,0.0449236945510573,1.0,True,251844875,27.40726200232166,0,0.08097975506123468
267040956_P1.0_R4_68,inj,True,0.5011121657172285,0.9099023269170374,27.0,0.0009990009990009,1e-06,1.0,True,267040956,27.883625671296613,0,0.00024993751562109475
358512823_P1.0_R4_62,inj,True,1.0000813846180314,0.7630687958048589,56.0,0.0009990009990009,1e-06,1.0,True,358512823,56.221214282406436,3,0.00024993751562109475
24186466_P2.0_R4_74,inj,True,0.6631361255223919,0.7873945438663905,12.0,0.0039960039960039,0.0077107744293541,2.0,True,24186466,27.34708266203961,0,0.014996250937265684
439492792_P2.0_R4_76,inj,True,1.9629128583456097,0.7980891807650727,12.0,0.0449550449550449,0.0655555557862192,2.0,False,439492792,27.349907708332466,0,0.010247438140464884
66435575_P1.0_R4_70,inj,True,1.002133419628535,0.8929278626704692,15.0,0.0029970029970029,1e-06,1.0,True,66435575,55.27628997685679,3,0.00024993751562109475
114953091_P2.0_R4_73,inj,True,1.0097188058748463,0.6017143496849492,18.0,0.0209790209790209,1e-06,2.0,True,114953091,27.882853726849135,0,0.10497375656085979
181454895_P2.0_R4_72,inj,True,0.5020720412584941,0.5210032777650702,25.0,0.1058941058941058,0.1485148514851485,2.0,False,181454895,27.883264861113275,0,0.08322919270182455
20923934_P2.0_R4_79,inj,True,0.6652730719827045,0.7019018470437317,13.0,0.0399600399600399,0.0278043245761017,2.0,True,20923934,27.349432233793777,0,0.08222944263934016
66410290_P2.0_R4_77,inj,True,0.5021843152649019,0.6377712307456692,19.0,0.0119880119880119,1e-06,2.0,False,66410290,27.4073436111139,0,0.026243439140214948
120565939_P2.0_R4_81,inj,True,0.9916571360638752,0.5533840539516747,20.0,0.0589410589410589,0.0422863900457855,2.0,True,120565939,27.40700937499787,0,0.1462134466383404
234497476_P2.0_R4_75,inj,True,0.5000584555180135,0.9254348719494794,27.0,0.0009990009990009,2.641052574611737e-05,2.0,False,234497476,56.22082225694612,3,0.00024993751562109475
262810040_P2.0_R4_83,inj,True,0.5037284319581049,0.7274261345740461,11.0,0.0329670329670329,0.0496340607445833,2.0,False,262810040,27.350490543976775,0,0.12596850787303174
12418307_P2.0_R4_82,inj,True,0.7925720118184253,0.6243331601665383,14.0,0.1978021978021978,0.198019801980198,2.0,False,12418307,27.407120682873938,0,0.23869032741814547
369603767_P2.0_R4_78,inj,True,0.6679287318702021,0.5884965942048074,34.0,0.0009990009990009,1e-06,2.0,True,369603767,55.27633410879935,3,0.0007498125468632841
144406842_P4.0_R4_85,inj,True,0.6693580839392704,0.4483433159970533,18.0,0.6463536463536463,0.594059405940594,4.0,False,144406842,27.406639675922634,0,0.8902774306423394
219342752_P2.0_R4_80,inj,True,0.6678597326687044,0.6330179098633633,44.0,0.0009990009990009,1e-06,2.0,True,219342752,56.220655138888105,3,0.00024993751562109475
11645778_P4.0_R4_87,inj,True,1.3524336294087382,0.6730098788875389,12.0,0.1588411588411588,0.1386138613861386,4.0,False,11645778,27.34710962963436,0,0.2229442639340165
370233036_P4.0_R4_88,inj,True,1.9192908026422375,0.4937889557150479,15.0,0.5384615384615384,0.5643564356435643,4.0,False,370233036,27.882958113426866,0,0.8687828042989253
66399111_P4.0_R4_84,inj,True,1.1616830557398443,0.5974206049193871,17.0,0.2107892107892107,0.198019801980198,4.0,False,66399111,55.276236516205245,3,0.279680079980005
389756744_P4.0_R4_86,inj,True,1.969701521232228,0.6666196347963623,10.0,0.4835164835164835,0.4851485148514851,4.0,False,389756744,56.22096214120393,3,0.8245438640339915
80340568_P4.0_R4_93,inj,True,1.9850678776191923,0.5416308086850876,17.0,0.2387612387612387,0.2772277227722772,4.0,True,80340568,27.40702173610771,0,0.40114971257185705
100123131_P4.0_R4_90,inj,True,0.5742683299697603,0.3218779574847339,35.0,0.966033966033966,0.99009900990099,4.0,False,100123131,55.27645031249995,3,0.9955011247188202
231044412_P4.0_R4_91,inj,True,1.9908450329810117,0.3896300771457106,27.0,0.6893106893106893,0.6435643564356436,4.0,True,231044412,55.27581011573784,3,0.955011247188203
369964134_P4.0_R4_89,inj,True,0.5002121006512587,0.5238754943704722,26.0,0.0569430569430569,0.0594823373842247,4.0,False,369964134,56.220430046298134,3,0.13046738315421144
207174734_P4.0_R4_92,inj,True,0.5484234910071029,0.441351778748043,26.0,0.2637362637362637,0.3465346534653465,4.0,False,207174734,55.27533734953613,3,0.7058235441139715
281593180_P4.0_R4_94,inj,True,4.07393186891666,0.6529851207566847,13.0,0.1068931068931069,0.1683168316831683,4.0,False,281593180,27.883790173611487,0,0.1989502624343914
248947399_P4.0_R4_95,inj,True,1.0107649377998875,0.7980155993981146,5.0,0.5314685314685315,0.6039603960396039,4.0,False,248947399,27.35023446759442,0,0.950012496875781
75353949_P8.0_R4_98,inj,True,1.008235659911602,0.5868705028092253,8.0,0.6153846153846154,0.6336633663366337,8.0,False,75353949,27.34672331019101,0,0.9940014996250938
