key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match
220399756_P4.0_R2_44,inj,True,0.6201625733043177,0.9450247804672497,5.0,0.013986013986013986,0.05942410996800074,4.0,False
164772943_P4.0_R2_45,inj,True,1.5020561468151168,0.5176251586418192,15.0,0.3726273726273726,0.37623762376237624,4.0,False
52307802_P4.0_R2_38,inj,True,0.5698831619264598,0.41208959985506866,36.0,0.12187812187812187,0.12871287128712872,4.0,False
150066811_P4.0_R2_46,inj,True,0.9589431094299099,0.7116069360227678,9.0,0.22077922077922077,0.24752475247524752,4.0,False
40059019_P4.0_R2_47,inj,True,1.078278359026058,0.953883511026274,4.0,0.2217782217782218,0.2079207920792079,4.0,False
408049337_P0.5_R4_49,inj,True,0.5002831960497324,0.964262793032627,29.0,0.000999000999000999,1e-06,0.5,True
425938730_P4.0_R2_43,inj,True,0.9973187738634508,0.45128895298149674,35.0,0.061938061938061936,0.06231919284156926,4.0,False
101930558_P0.5_R4_50,inj,True,0.500565897063484,0.9868476376718963,46.0,0.000999000999000999,3.368559495503177e-06,0.5,True
179823111_P0.5_R4_51,inj,True,0.500282943658678,0.9933567377511499,47.0,0.000999000999000999,1e-06,0.5,True
268765642_P0.5_R4_54,inj,True,0.5010251784591793,0.9326085188410121,30.0,0.000999000999000999,1e-06,0.5,True
228613048_P0.5_R4_57,inj,False,,,,,,,
70420258_P0.5_R4_55,inj,True,0.5007124897600189,0.8982496175156663,47.0,0.000999000999000999,1e-06,0.5,True
311883977_P0.5_R4_58,inj,True,0.5028386852404233,0.7600260005315242,31.0,0.000999000999000999,1e-06,0.5,True
161291273_P0.5_R4_56,inj,True,0.5033434749184502,0.44250138401283445,26.0,0.22777222777222778,0.2871287128712871,0.5,True
150301109_P0.5_R4_48,inj,True,0.5001514244562011,0.9873898876880867,120.0,0.000999000999000999,1e-06,0.5,True
40046362_P1.0_R4_60,inj,True,0.5031323963243417,0.874444101284651,18.0,0.000999000999000999,8.061824935532552e-05,1.0,True
117643471_P0.5_R4_59,inj,True,0.5002806402725485,0.9901238016843857,47.0,0.000999000999000999,1e-06,0.5,True
70777408_P1.0_R4_61,inj,True,1.0026650600850333,0.7907673283185724,28.0,0.000999000999000999,4.8688275804676154e-05,1.0,True
279055830_P0.5_R4_52,inj,True,0.5000630837903488,0.9909635932726074,123.0,0.000999000999000999,1e-06,0.5,True
198077554_P1.0_R4_66,inj,True,0.5008599003125261,0.6446515129675328,17.0,0.029970029970029972,0.01603581756155094,1.0,True
220405171_P0.5_R4_53,inj,True,0.5004867604364115,0.9296360144661233,128.0,0.000999000999000999,1e-06,0.5,True
89018360_P1.0_R4_63,inj,True,0.5011935776799232,0.753009101296478,31.0,0.000999000999000999,4.21503082486463e-05,1.0,True
231862051_P1.0_R4_64,inj,True,0.5011173409480697,0.8555277120779088,29.0,0.000999000999000999,1e-06,1.0,True
120461410_P1.0_R4_65,inj,True,0.5010078212943868,0.8209752711919394,30.0,0.000999000999000999,1e-06,1.0,True
136842674_P1.0_R4_71,inj,True,0.5009440158596324,0.7124262372098286,22.0,0.001998001998001998,0.011492982141704402,1.0,True
402041756_P1.0_R4_67,inj,True,0.5011479605536439,0.868182943070192,27.0,0.000999000999000999,1.404514206228594e-06,1.0,True
251844875_P1.0_R4_69,inj,True,1.008189050967299,0.5442206510524098,23.0,0.03596403596403597,0.04492369455105739,1.0,True
267040956_P1.0_R4_68,inj,True,0.5011121657172285,0.9099023269170374,27.0,0.000999000999000999,1e-06,1.0,True
358512823_P1.0_R4_62,inj,True,1.0000813846180314,0.7630687958048589,56.0,0.000999000999000999,1e-06,1.0,True
24186466_P2.0_R4_74,inj,True,0.6631361255223919,0.7873945438663905,12.0,0.003996003996003996,0.007710774429354178,2.0,True
439492792_P2.0_R4_76,inj,True,1.9629128583456097,0.7980891807650727,12.0,0.04495504495504495,0.06555555578621924,2.0,False
