tic,P,Rp,routed,k,p_hat,pmatch,fap_red,fap_white
260750374,1.0,2,True,19,0.5006547327709118,True,0.6663336663336663,0.5835411471321695
410253041,1.0,4,True,22,0.5006793021996698,True,0.000999000999000999,0.0024937655860349127
344368428,2.0,8,True,14,0.6660319426795644,True,0.024975024975024976,0.1571072319201995
70776480,2.0,2,True,17,0.5028298838938036,False,0.3116883116883117,0.48129675810473815
40103277,4.0,8,True,8,1.983216442202192,True,0.3256743256743257,0.7581047381546134
270653912,1.0,2,True,18,1.6145796054692705,False,0.24175824175824176,0.5885286783042394
80430430,1.0,4,True,25,0.9939069122073667,True,0.000999000999000999,0.0024937655860349127
197807302,2.0,4,True,32,0.6678355769639025,True,0.000999000999000999,0.0024937655860349127
92994093,2.0,8,True,10,2.048256751443149,False,0.006993006993006993,0.05486284289276808
70762901,2.0,4,True,12,2.0117921484865025,True,0.000999000999000999,0.0024937655860349127
92131593,2.0,2,True,13,2.125498979772569,False,0.4205794205794206,0.743142144638404
41898474,4.0,4,True,5,3.6304022986419953,False,0.02197802197802198,0.32917705735660846
115321756,1.0,4,True,18,0.5026865209098671,True,0.000999000999000999,0.0024937655860349127
207240752,4.0,4,True,16,0.5698335450363422,False,0.00999000999000999,0.02493765586034913
37774136,2.0,2,True,12,0.662395787477662,True,0.04695304695304695,0.057356608478802994
273569625,4.0,8,True,21,0.5000870085254665,False,0.6953046953046953,0.8927680798004988
161440068,1.0,2,True,16,1.015011334260907,False,0.5704295704295704,0.7880299251870324
402041756,1.0,8,True,29,0.5000889242564978,True,0.000999000999000999,0.0024937655860349127
52257960,2.0,4,True,17,1.0047677634710934,True,0.002997002997002997,0.004987531172069825
75353949,2.0,8,True,11,1.0068196825241533,True,0.12787212787212787,0.4014962593516209
160080353,4.0,8,True,11,0.6692562624547215,False,0.0969030969030969,0.486284289276808
317128444,4.0,4,True,14,0.5729934933141303,False,0.17682317682317683,0.33665835411471323
11637281,1.0,8,True,18,0.5010135052734433,True,0.000999000999000999,0.0024937655860349127
79405578,1.0,4,True,13,0.5004811877121332,True,0.000999000999000999,0.0024937655860349127
279091165,1.0,2,False,1,,,,
322050553,1.0,2,True,18,1.0037289807643723,True,0.000999000999000999,0.0024937655860349127
278991349,1.0,8,True,74,0.5000953264687831,True,0.000999000999000999,0.0024937655860349127
248946014,2.0,4,True,14,0.9937867803489424,True,0.6353646353646354,0.9177057356608479
382416402,2.0,2,True,18,0.6722070102947918,True,0.1928071928071928,0.48877805486284287
75373928,1.0,8,True,19,0.5014076536308796,True,0.000999000999000999,0.0024937655860349127
197979354,1.0,4,True,30,0.5015650041045746,True,0.000999000999000999,0.0024937655860349127
120608824,2.0,2,True,18,0.994665472616577,True,0.029970029970029972,0.07481296758104738
144308900,2.0,4,True,18,1.0030583250077414,True,0.005994005994005994,0.032418952618453865
136842674,4.0,4,True,15,0.5354911711717291,False,0.7852147852147852,0.8977556109725686
197961755,2.0,8,True,20,0.6683602851762692,True,0.02097902097902098,0.059850374064837904
207177270,2.0,8,True,35,1.001522783072902,True,0.001998001998001998,0.012468827930174564
150066811,4.0,8,True,13,0.9709690182550548,False,0.7822177822177823,0.9152119700748129
206529534,4.0,4,True,39,0.5702864538527187,False,0.27472527472527475,0.24688279301745636
206615548,4.0,8,True,27,0.6667284365733636,False,0.12387612387612387,0.3341645885286783
228569826,1.0,4,True,26,0.500596542312068,True,0.000999000999000999,0.0024937655860349127
393964361,1.0,8,True,26,0.501028682741547,True,0.000999000999000999,0.0024937655860349127
37751660,4.0,8,True,6,0.7986068969507631,False,0.6633366633366633,0.9576059850374065
389131517,2.0,8,True,18,0.6674472117524793,True,0.012987012987012988,0.014962593516209476
279159844,1.0,2,True,36,0.5008812202376616,True,0.6703296703296703,0.6309226932668329
220482148,1.0,2,True,4,2.095351876862348,False,0.12987012987012986,0.05236907730673317
79282952,4.0,4,True,20,3.8102292310256702,False,0.5264735264735265,0.513715710723192
231044412,2.0,2,True,30,0.5002756208576412,False,0.000999000999000999,0.0024937655860349127
164720937,1.0,8,True,18,0.5010577035371628,True,0.000999000999000999,0.0024937655860349127
220413881,2.0,4,True,29,0.6672390651518015,True,0.000999000999000999,0.0024937655860349127
265468668,1.0,4,True,31,0.5007686371975921,True,0.000999000999000999,0.0024937655860349127
60371639,2.0,2,True,8,0.5847279589123662,False,0.24675324675324675,0.5386533665835411
