tic,white,red,n_events,routed
158536201,0.0,0.0,0,False
389527948,0.0,0.0,0,False
118826478,0.0,0.0,0,False
201753334,0.0,0.0,0,False
251844875,0.0,0.0,0,False
66399111,0.0,0.0,0,False
240849795,0.0,0.0,0,False
316992294,0.0,0.0,0,False
396720311,0.0,0.0,0,False
267324084,0.0,0.0,0,False
183563012,0.0,0.0,0,False
394494795,0.0,0.0,0,False
156087003,0.0,0.0,0,False
24269255,5.043865533378583,4.569699348642882,2,True
158536220,0.0,0.0,0,False
270480629,0.0,0.0,0,False
369706317,4.450324955660244,4.4245688106631915,2,True
231832497,1.840290487356292,0.45393755729237945,4,True
70787947,0.0,0.0,0,False
273652136,0.0,0.0,0,False
206615548,1.1393544645142089,1.2061409787774484,5,True
101070347,2.1607916412682284,1.9093639742309867,2,True
279092536,0.0,-0.8306040579029604,4,True
393964275,0.0,0.0,0,False
231853796,0.0,0.0,0,False
246820769,0.0,0.0,0,False
469939625,0.0,-0.1927844479535866,2,True
143923380,0.0,0.0,0,False
150106948,2.625381766700427,2.5818321755575906,2,True
149971277,0.0,0.0,0,False
439466001,0.0,0.0,0,False
237358181,0.0,0.0,0,False
220389925,0.0,0.0,0,False
12377867,0.0,0.0,0,False
92595555,0.0,0.0,0,False
80260513,0.0,0.0,0,False
79395764,0.0,0.0,0,False
164695091,0.0,0.0,0,False
231268284,0.0,0.0,0,False
150299115,0.0,0.0,0,False
66435575,0.0,0.0,0,False
92452841,26.644192518445667,21.764699944454694,6,True
262810040,0.0,0.0,0,False
220399756,0.0,0.0,0,False
183981752,-1.312175812081156,-1.1925025239963436,2,True
197807043,0.0,0.0,0,False
369219815,0.0,0.0,0,False
114953091,0.0,0.0,0,False
139844443,0.0,0.0,0,False
24270027,0.0,0.0,0,False
70762901,0.0,0.0,0,False
120430207,0.0,0.0,0,False
197885600,0.0,0.0,0,False
150391740,0.0,0.0,0,False
219234951,0.0,0.0,0,False
150029502,1.1702897850174476,1.1068820107085888,2,True
380858160,0.0,0.0,0,False
67544844,0.0,0.0,0,False
229051080,0.0,0.0,0,False
248952560,0.0,0.0,0,False
70775391,0.0,0.0,0,False
251821926,0.0,0.0,0,False
101099031,0.0,0.0,0,False
12787544,0.0,0.0,0,False
316855037,0.0,0.0,0,False
277892453,0.0,0.0,0,False
139763851,0.0,0.0,0,False
198005341,11.613145293135252,3.617660964239704,2,True
161168147,0.0,0.0,0,False
246862277,0.0,0.0,0,False
144385668,0.0,0.0,0,False
369964134,1.1089821288004595,0.3976852274147359,5,True
207174980,0.0,0.0,0,False
115273603,0.0,0.0,0,False
20923934,0.0,0.0,0,False
279052786,1.2612400571515754,1.0887551756731457,4,True
