tic,P,Rp,b,k,t14_seeded,Lb,obs_R,P_hat,P_true,fap_sealed,fap_full,fap_cur,bitexact,gate_sealed,gate_full,gate_cur,n_cur,curtailed,t_sealed,t_full,t_cur
155986202,2.0,2,0.0,12,0.1,0.30000000000000004,0.989406849259251,2.0101127007273765,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.02730600000001,2.0610550000000103,2.0967899999999986
251885542,2.0,2,0.6,2,0.1,0.30000000000000004,0.9891907318692578,0.6172530339117374,2.0,0.2957042957042957,0.2957042957042957,0.01098901098901099,True,False,False,False,30,True,11.601211000000006,1.9300700000000006,0.060371000000003505
279318109,1.0,8,0.0,65,0.05,0.15000000000000002,0.9290646390642998,0.5002466344813548,1.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,42.339692000000014,6.504346999999996,6.4921460000000195
308209064,2.0,4,0.0,6,0.05,0.15000000000000002,0.9839743638857359,2.0152420378813076,2.0,0.2097902097902098,0.2097902097902098,0.01098901098901099,True,False,False,False,54,True,12.789287999999999,1.8934639999999945,0.09922799999998233
231840839,1.0,12,0.0,45,0.05,0.15000000000000002,0.906688029996704,0.5001338584143988,1.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,28.077650000000006,3.974548999999996,3.956729000000024
231704229,2.0,4,0.3,15,0.05,0.15000000000000002,0.868851595434031,0.5011606137264888,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.183500999999978,1.9741630000000043,1.978890999999976
375059160,2.0,2,0.0,5,0.8,2.4000000000000004,0.8266444295288391,1.3195961397585354,2.0,0.8621378621378621,0.8621378621378621,0.01098901098901099,True,False,False,False,12,True,29.709159,4.094369999999998,0.05312200000000189
114918596,2.0,4,0.3,13,0.05,0.15000000000000002,0.97540597791197,0.6655143136494048,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.134165000000024,1.9763530000000173,1.9852570000000185
268765642,2.0,4,0.6,9,0.1,0.30000000000000004,0.9384931241909957,0.6722747104021066,2.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,True,False,False,False,865,True,9.160892000000018,1.5275749999999562,1.312676999999951
150359212,2.0,2,0.6,17,0.05,0.15000000000000002,0.8759490674658063,0.6664705217184702,2.0,0.00999000999000999,0.00999000999000999,0.00999000999000999,True,True,True,True,1000,False,37.849064,4.947003999999993,4.941158999999999
199729914,2.0,4,0.6,20,0.05,0.15000000000000002,0.9912822306281902,2.0057787589579803,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,25.603818000000018,3.520253000000025,3.4695910000000367
251828912,2.0,4,0.0,12,0.05,0.15000000000000002,0.9897551099985932,1.0026163251118407,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,13.840485999999999,2.0968750000000114,2.095482000000004
150274632,2.0,4,0.0,6,0.05,0.15000000000000002,0.834135669037009,2.7739047268481154,2.0,0.4565434565434565,0.4565434565434565,0.01098901098901099,True,False,False,False,25,True,36.04369,4.283215000000041,0.1078059999999823
150188659,2.0,8,0.6,12,0.05,0.15000000000000002,0.9896233597010939,1.9883346770099148,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,13.978788000000009,2.0198290000000156,2.0053219999999783
160113035,2.0,8,0.3,13,0.1,0.30000000000000004,0.9266947079534538,1.982482602165751,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,13.155880999999965,1.9819540000000302,1.960587999999973
115693639,2.0,8,0.6,12,0.05,0.15000000000000002,0.9884356838487401,2.0130683121001094,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,14.341295000000002,2.0990150000000085,2.097420999999997
248955543,2.0,12,0.0,10,0.05,0.15000000000000002,0.8065791603809533,2.027611443287468,2.0,0.09290709290709291,0.09290709290709291,0.01098901098901099,True,False,False,False,144,True,9.55062700000002,1.4705030000000079,0.2086800000000153
100123131,2.0,8,0.0,21,0.05,0.15000000000000002,0.9775167912266762,2.005303998479406,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,25.353481999999985,3.491347000000019,3.4774360000000115
