task,tic,period_days,radius_rearth,b,cost_full,cost_full_wall,cost_full_cpu_spread,cost_detector,cost_period,cost_tls,cost_comb,fast_path_eligible,routed_in_retime,confirmed_cheap,n_repeats,ge,E_surrogates,cost_detector_leverA,cost_detector_leverAB,cost_comb_leverA,cost_comb_leverAB,cost_comb_free_detector
4131,141809729,1.0,8,0.6,600.9495499999994,602.8384220410007,1.7214815666569372,38.69000600000072,0.0,600.9637659999989,639.6537719999997,True,True,False,5,-0.0,1000.0,6.095794233496253,6.095794233496253,607.0595602334952,607.0595602334952,600.9637659999989
4857,28077586,1.0,12,0.0,29.97852700000112,30.060004999999364,0.0124783921649713,8.991362000000663,0.0,29.97852700000112,38.969889000001785,True,True,False,5,23.5,434.7344785127289,1.4166317945487101,0.6166586575846489,31.39515879454983,30.595185657585766,29.97852700000112
4478,142105308,1.0,8,0.3,218.57337199999893,219.14974166700267,0.145275494065262,22.809262000000672,0.0,0.0152980000002571,22.82456000000093,True,True,True,5,-0.0,1000.0,3.5937075783835937,3.5937075783835937,3.609005578383851,3.609005578383851,0.0152980000002571
4876,206683782,1.0,12,0.3,62.95106200000009,63.12030849999428,0.2341494813323854,14.321912999999768,0.0,0.0103560000006837,14.332269000000451,True,True,True,5,-0.0,1000.0,2.256485426185563,2.256485426185563,2.2668414261862466,2.2668414261862466,0.0103560000006837
4925,260852493,1.0,12,0.6,64.91368599999987,65.07954674999928,0.0645671529402066,14.688484000000244,0.0,0.0102559999995719,14.698739999999816,True,True,True,5,-0.0,1000.0,2.314240428548959,2.314240428548959,2.324496428548531,2.324496428548531,0.0102559999995719
4944,92130019,1.0,12,0.0,62.552386999999726,62.69810579199839,0.0586415825555079,14.013670000000277,0.0,0.0102750000005471,14.023945000000822,True,True,True,5,-0.0,1000.0,2.2079202772964037,2.2079202772964037,2.218195277296951,2.218195277296951,0.0102750000005471
4728,142105308,1.0,12,0.0,220.33650299999863,220.90701687500405,0.202046893619282,22.818796999999904,0.0,0.0158700000010867,22.83466700000099,True,True,True,5,-0.0,1000.0,3.595209862927352,3.595209862927352,3.6110798629284386,3.6110798629284386,0.0158700000010867
5027,28077586,2.0,1,0.0,27.564540000001216,27.623209625002342,0.2747945120340289,7.620071999999709,0.0,27.564540000001216,35.184612000000925,True,True,False,5,107.5,93.45794392523365,1.2005785410429666,0.1132908896180573,28.76511854104418,27.677830889619273,27.564540000001216
5117,146711335,2.0,1,0.0,22.4327059999996,22.76168995899934,4.368999711069986,7.437401999999565,0.0,22.4327059999996,29.870107999999163,True,True,False,5,152.5,65.7894736842105,1.171798014810078,0.07818558708628152,23.60450401480968,22.510891587085883,22.4327059999996
4808,142105308,1.0,12,0.6,218.3552319999999,218.9157927089982,35.91861810721866,22.674143000000186,0.0,0.0103299999991577,22.684472999999343,True,True,True,5,-0.0,1000.0,3.5724189380810123,3.5724189380810123,3.58274893808017,3.58274893808017,0.0103299999991577
4331,141809729,1.0,8,0.3,607.0928260000001,608.7807638329978,60.0604295583691,39.02524799999992,0.0,0.017191000000821,39.04243900000074,True,True,True,5,-0.0,1000.0,6.14861320308806,6.14861320308806,6.165804203088881,6.165804203088881,0.017191000000821
5437,146711335,2.0,1,0.6,17.130692999999155,17.142377458992996,1.1532869899302696,6.563464000000749,0.0,17.130692999999155,23.694156999999905,True,True,False,5,174.5,57.47126436781611,1.0341049314638016,0.060405017813868436,18.164797931462957,17.191098017813022,17.130692999999155
5178,142105308,2.0,1,0.3,60.897594000000026,62.01991504200123,10.538321955471956,11.96505199999956,0.0,60.897594000000026,72.86264599999959,True,True,False,5,121.5,82.64462809917354,1.8851507798959444,0.15752521068457864,62.78274477989597,61.0551192106846,60.897594000000026
5052,231280161,2.0,1,0.3,111.0283789999994,111.64293558400097,21.81378571821493,19.073668000000907,0.0,111.0283789999994,130.1020470000003,True,True,False,5,422.0,23.696682464454977,3.00514699858215,0.07414301816482846,114.03352599858155,111.10252201816424,111.0283789999994
