tic,arm,P_true,Rp,b,period_min,sde,period_hat,recovered,period_ok,sde_ok
20923934,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,25.62119350384159,0.6197701152699003,True,True,True
115284339,A_edge_pmin0.5,0.5,8,0.0,0.5,18.46801887175566,1.0005233261091322,False,True,True
183645350,A_edge_pmin0.5,0.5,8,0.0,0.5,10.001615838741476,1.5018540244146097,False,True,False
220436741,A_edge_pmin0.5,0.5,8,0.3,0.5,31.287409726538407,0.9998623409630468,False,True,True
115284339,B_extended_pmin0.3,0.5,8,0.0,0.3,18.46801887175566,1.0005233261091322,False,True,True
115284339,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,22.788341734099294,0.6198912058761314,True,True,True
183645350,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,7.221525945633959,1.5091407649175628,False,False,False
183645350,B_extended_pmin0.3,0.5,8,0.0,0.3,10.001615838741476,1.5018540244146097,False,True,False
206435948,A_edge_pmin0.5,0.5,8,0.3,0.5,17.312392725854025,0.9993046266106389,True,True,True
206435948,B_extended_pmin0.3,0.5,8,0.3,0.3,17.312392725854025,0.9993046266106389,True,True,True
206435948,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,20.213519071720423,0.6200232017210388,True,True,True
220436741,B_extended_pmin0.3,0.5,8,0.3,0.3,31.287409726538407,0.9998623409630468,False,True,True
246883482,A_edge_pmin0.5,0.5,8,0.6,0.5,24.625783158211338,1.0003503082219318,False,True,True
220436741,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,20.774825750212,0.619907075511639,True,True,True
246883482,B_extended_pmin0.3,0.5,8,0.6,0.3,24.625783158211338,1.0003503082219318,False,True,True
246883482,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,33.715062901139454,0.6202105704649032,True,True,True
149838741,A_edge_pmin0.5,0.5,8,0.0,0.5,24.37090866109077,1.0002971979571391,True,True,True
149838741,B_extended_pmin0.3,0.5,8,0.0,0.3,24.37090866109077,1.0002971979571391,True,True,True
149838741,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,30.34515530782078,0.620175683851819,True,True,True
262824477,A_edge_pmin0.5,0.5,8,0.3,0.5,22.634731626249,0.999654938012881,False,True,True
262824477,B_extended_pmin0.3,0.5,8,0.3,0.3,22.634731626249,0.999654938012881,False,True,True
262824477,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,28.559045039781946,0.6202422704684486,True,True,True
160080353,A_edge_pmin0.5,0.5,8,0.6,0.5,22.805535913664396,1.0002869906429241,False,True,True
160080353,B_extended_pmin0.3,0.5,8,0.6,0.3,22.805535913664396,1.0002869906429241,False,True,True
160080353,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,23.737547924799866,0.6201689789734355,True,True,True
267183401,A_edge_pmin0.5,0.5,8,0.0,0.5,21.248425585951185,0.99950605138407,True,True,True
267183401,B_extended_pmin0.3,0.5,8,0.0,0.3,21.248425585951185,0.99950605138407,True,True,True
267183401,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,20.606010914151614,0.6201444562724672,True,True,True
197955324,A_edge_pmin0.5,0.5,8,0.6,0.5,20.820638739795907,1.0004928920668466,True,True,True
410442002,A_edge_pmin0.5,0.5,8,0.3,0.5,21.353361920405163,1.000473734507989,False,True,True
410442002,B_extended_pmin0.3,0.5,8,0.3,0.3,21.353361920405163,1.000473734507989,False,True,True
410442002,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,17.80751175003904,0.6201276998711734,True,True,True
160197441,A_edge_pmin0.5,0.5,8,0.3,0.5,17.290401284651644,1.0005253248521222,False,True,True
160197441,B_extended_pmin0.3,0.5,8,0.3,0.3,17.290401284651644,1.0005253248521222,False,True,True
197955324,B_extended_pmin0.3,0.5,8,0.6,0.3,20.820638739795907,1.0004928920668466,True,True,True
197955324,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,25.483967509816445,0.6201329814967145,True,True,True
160197441,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,14.060465592334198,0.6206425784822249,True,True,True
207090424,A_edge_pmin0.5,0.5,8,0.0,0.5,21.801969726431626,1.000338271679834,True,True,True
207090424,B_extended_pmin0.3,0.5,8,0.0,0.3,21.801969726431626,1.000338271679834,True,True,True
207090424,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,19.523437833518294,0.6202026639939712,True,True,True
79405368,A_edge_pmin0.5,0.5,8,0.6,0.5,22.640150911967666,0.9996091935727109,False,True,True
79405368,B_extended_pmin0.3,0.5,8,0.6,0.3,22.640150911967666,0.9996091935727109,False,True,True
79405368,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,28.614206269149573,0.6202122175953848,True,True,True
197830265,A_edge_pmin0.5,0.5,8,0.0,0.5,21.040394692334132,1.000464127944718,False,True,True
197830265,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,14.692512662709051,0.6197502870042743,True,True,True
197830265,B_extended_pmin0.3,0.5,8,0.0,0.3,21.040394692334132,1.000464127944718,False,True,True
161306328,A_edge_pmin0.5,0.5,8,0.3,0.5,21.441950894723295,0.9996533826683821,False,True,True
98672854,A_edge_pmin0.5,0.5,8,0.6,0.5,17.542444325189162,1.0003475177397128,False,True,True
98672854,B_extended_pmin0.3,0.5,8,0.6,0.3,17.542444325189162,1.0003475177397128,False,True,True
98672854,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,12.889756171394742,0.6205245779759819,True,True,True
161306328,B_extended_pmin0.3,0.5,8,0.3,0.3,21.441950894723295,0.9996533826683821,False,True,True
161306328,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,19.193661263496963,0.6202412486472351,True,True,True
98609758,A_edge_pmin0.5,0.5,8,0.6,0.5,19.579679978999437,1.00018525901218,False,True,True
70723782,A_edge_pmin0.5,0.5,8,0.3,0.5,22.61222984701518,1.0003222315613196,False,True,True
70723782,B_extended_pmin0.3,0.5,8,0.3,0.3,22.61222984701518,1.0003222315613196,False,True,True
98609758,B_extended_pmin0.3,0.5,8,0.6,0.3,19.579679978999437,1.00018525901218,False,True,True
70723782,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,23.357267186807466,0.6201921276945523,True,True,True
98609758,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,21.252608297974696,0.6196670882905574,True,True,True
101017159,A_edge_pmin0.5,0.5,8,0.0,0.5,19.431477726988035,0.9993116106612381,False,True,True
101017159,B_extended_pmin0.3,0.5,8,0.0,0.3,19.431477726988035,0.9993116106612381,False,True,True
101017159,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,34.39392013957105,0.6200278373775833,True,True,True
266784171,A_edge_pmin0.5,0.5,8,0.3,0.5,18.5140637751013,1.0005621031051828,False,True,True
266784171,B_extended_pmin0.3,0.5,8,0.3,0.3,18.5140637751013,1.0005621031051828,False,True,True
396695653,A_edge_pmin0.5,0.5,8,0.6,0.5,18.272070539137303,1.0007200024721934,True,True,True
266784171,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,25.61685391891397,0.6199169130027138,True,True,True
396695653,B_extended_pmin0.3,0.5,8,0.6,0.3,18.272070539137303,1.0007200024721934,True,True,True
396695653,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,23.161052332775967,0.6200215928480642,True,True,True
267090033,A_edge_pmin0.5,0.5,8,0.0,0.5,22.876268822015938,0.9996256729335116,False,True,True
267090033,B_extended_pmin0.3,0.5,8,0.0,0.3,22.876268822015938,0.9996256729335116,False,True,True
267090033,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,25.93774520892152,0.6202230440839227,True,True,True
