tic,P,Rp,b,k_inj,k_host,obs_R,fap_contaminated,fap_clean,ge_contaminated,ge_clean,gate_contaminated,gate_clean,n_transits
219334689,1.0,8,0.6,53,5,0.7652756301412759,0.000999000999000999,0.7812187812187812,0,781,True,False,50
66410290,1.0,12,0.0,26,0,0.8672081058906487,0.000999000999000999,0.006993006993006993,0,6,True,True,25
41898474,1.0,12,0.3,4,4,0.9924949772433106,0.13986013986013987,0.15784215784215785,139,157,False,False,50
149993861,1.0,8,0.6,73,2,0.793356499217264,0.000999000999000999,0.6533466533466533,0,653,True,False,79
197978738,2.0,2,0.0,2,0,0.9756608402101912,0.35664335664335667,0.001998001998001998,356,1,False,True,13
207174734,1.0,12,0.6,40,0,0.893125319068777,0.000999000999000999,0.08491508491508491,0,84,True,False,50
200746541,2.0,2,0.3,2,0,1.0,0.12787212787212787,0.08691308691308691,127,86,False,False,9
92497469,2.0,2,0.3,4,2,0.9742682357672863,0.08691308691308691,0.12687312687312688,86,126,False,False,13
12787544,2.0,2,0.6,7,1,0.8778079933978987,0.4255744255744256,0.16783216783216784,425,167,False,False,13
24696180,1.0,12,0.6,50,3,0.8761421740392679,0.000999000999000999,0.7712287712287712,0,771,True,False,54
270481071,2.0,2,0.6,3,0,0.9996458616121757,0.2047952047952048,0.017982017982017984,204,17,False,False,13
293525326,2.0,4,0.0,12,1,0.9905413988629608,0.000999000999000999,0.061938061938061936,0,61,True,False,13
144434171,2.0,4,0.3,13,2,0.9359777397394919,0.000999000999000999,0.3256743256743257,0,325,True,False,13
279318109,2.0,1,0.6,8,8,0.789467479506918,0.6363636363636364,0.6473526473526473,636,647,False,False,40
317088106,2.0,4,0.6,13,1,0.9712405543610617,0.000999000999000999,0.14185814185814186,0,141,True,False,13
219334470,2.0,4,0.0,11,0,0.9775203344742479,0.001998001998001998,0.008991008991008992,1,8,True,True,13
267090033,2.0,4,0.3,8,2,0.874521899318248,0.1958041958041958,0.5954045954045954,195,595,False,False,13
164768954,2.0,8,0.6,8,1,0.9785488291673778,0.003996003996003996,0.33266733266733267,3,332,True,False,9
155986202,2.0,4,0.6,12,0,0.9883472752724284,0.000999000999000999,0.011988011988011988,0,11,True,False,13
469939625,2.0,8,0.0,12,2,0.9681940299695847,0.000999000999000999,0.4115884115884116,0,411,True,False,13
284083051,2.0,8,0.0,9,0,0.9209900650361688,0.01998001998001998,0.005994005994005994,19,5,False,True,9
251885542,2.0,8,0.3,15,0,0.8853723659129716,0.001998001998001998,0.001998001998001998,1,1,True,True,13
308209064,2.0,12,0.0,12,0,0.9839892894968489,0.000999000999000999,0.003996003996003996,0,3,True,True,13
231704229,2.0,12,0.3,19,1,0.7179629855469724,0.008991008991008992,0.34265734265734266,8,342,True,False,13
114918596,2.0,12,0.3,16,4,0.8241326147572058,0.000999000999000999,0.5404595404595405,0,540,True,False,13
268765642,2.0,12,0.6,11,2,0.8223825543321408,0.026973026973026972,0.5114885114885115,26,511,False,False,9
199729914,2.0,12,0.6,26,0,0.8372320605116845,0.000999000999000999,0.25374625374625376,0,253,True,False,25
375059160,2.0,8,0.6,30,4,0.9897333532699499,0.000999000999000999,0.3276723276723277,0,327,True,False,40
115693639,4.0,2,0.0,2,0,0.9733765434473807,0.4125874125874126,0.005994005994005994,412,5,False,True,7
150359212,2.0,8,0.3,34,4,0.9134546526695488,0.000999000999000999,0.6963036963036963,0,696,True,False,40
248955543,4.0,2,0.6,2,1,1.0,0.16883116883116883,0.16283716283716285,168,162,False,False,5
150274632,2.0,12,0.0,18,5,0.9339584498309439,0.000999000999000999,0.47952047952047955,0,479,True,False,40
279091054,4.0,2,0.3,3,3,0.9999933921056866,0.18081918081918083,0.1798201798201798,180,179,False,False,13
150104808,4.0,1,0.3,7,7,0.8073530208306928,0.017982017982017984,0.017982017982017984,17,17,False,False,20
3836364,4.0,4,0.0,5,0,0.9515269905605187,0.16983016983016982,0.004995004995004995,169,4,False,True,5
20923934,4.0,4,0.3,5,1,0.9300330283353511,0.22877122877122877,0.24575424575424576,228,245,False,False,5
161174069,4.0,2,0.6,3,2,0.9486155770251881,0.3006993006993007,0.13886113886113885,300,138,False,False,7
389527466,4.0,4,0.6,5,1,0.9774016617250773,0.22477522477522477,0.19080919080919082,224,190,False,False,7
70776480,4.0,4,0.3,6,0,0.9889696206164956,0.027972027972027972,0.12387612387612387,27,123,False,False,7
218968119,4.0,4,0.6,8,0,0.8790395519162628,0.1968031968031968,0.000999000999000999,196,0,False,True,7
11645778,4.0,8,0.0,5,0,0.9561186885097354,0.16583416583416583,0.003996003996003996,165,3,False,True,5
259472825,4.0,8,0.3,4,0,0.9994096228298198,0.04595404595404595,0.004995004995004995,45,4,False,True,5
