tic,kind,P,t0,T14,Lambda,delta,n_in,n_transits,sign_pass,odd_even_pass,no_secondary_pass,shape_pass,confirmed_Tred0
100103683,random,13.860471101546898,1356.1076367958613,0.2,3.611527671996268,0.00012872766151968148,423,3,True,True,True,True,True
100103683,random,17.823333195738332,1355.5317361120121,0.1,0.0003266749400340066,1.7380850728787185e-06,211,3,True,True,True,True,True
100103683,random,19.073257493337813,1372.085609162512,0.05,0.0,-6.57497929414479e-06,72,2,False,True,True,True,False
100103683,random,2.5322832267827073,1356.9317352962237,0.05,0.09157087505317421,1.7793474457150238e-05,565,16,True,True,True,True,True
100103683,random,1.543620943216526,1356.6111720569681,0.8,0.0,-4.373576794352048e-05,14537,28,False,True,True,True,False
100103683,random,11.121678207352165,1356.3905731883735,0.1,0.0,-3.1548706477271863e-06,258,4,False,True,True,True,False
100103683,random,1.6080295061700776,1356.2511177888202,0.05,0.05464036866846171,1.1484871734179051e-05,813,23,True,True,True,True,True
100106368,random,16.468723594683926,1369.0526253718072,0.4,0.40004502541650894,3.0666685938129614e-05,573,2,True,True,True,True,True
100106368,random,1.5928364612621353,1355.4782072169328,0.2,0.0,-1.2545724069140377e-05,3695,26,False,True,True,True,False
100106368,random,0.8334351779043094,1355.547170197416,0.1,0.0,-2.2986488380098142e-05,3330,47,False,True,True,True,False
100106368,random,3.0813223332942323,1355.9938028121217,0.4,0.0,-3.8354050091067035e-05,3137,11,False,True,True,True,False
100106368,random,2.6843736823776068,1355.9148848464185,0.4,0.0,-8.779939947341281e-06,4530,16,False,True,True,True,False
100106368,random,9.806074402739704,1360.2801547330141,0.4,1.3015273286796973,3.524111499058035e-05,1421,5,True,True,True,True,True
100106368,random,0.7582564606144461,1355.420270800257,0.4,0.0,-3.147980946515903e-05,14573,53,False,True,True,True,False
100106368,random,2.7120295662628764,1355.3706452843585,0.05,0.0,-1.533407772482366e-06,559,16,False,True,True,True,False
100106368,random,3.719626601687234,1355.4781416685278,0.05,2.1553341752447444,8.777281789148082e-05,383,11,True,True,True,True,True
100106368,random,0.7364591084316902,1355.985503342253,0.1,0.0003302595909582897,3.486808891574254e-07,3689,53,True,True,True,True,True
100106368,random,1.2171198295495387,1356.07376410311,0.4,0.0,-3.396514429338438e-05,9055,33,False,True,True,True,False
100106368,random,5.189357285854637,1360.386320442532,0.4,0.031968309550505405,4.7437283948247554e-06,1904,8,True,True,True,True,True
100106368,random,1.4355836251367133,1356.0402523915493,0.05,3.0661968746222015,6.612544946923823e-05,951,27,True,True,True,True,True
100106368,random,1.1115693023678783,1355.875875770111,0.4,0.21900877141819325,8.118509444800133e-06,9978,37,True,True,True,True,True
100106368,random,2.0057421259919876,1356.2893022124215,0.1,0.0,-2.8138479673154784e-05,1295,19,False,True,True,True,False
100106368,random,5.587154073881396,1359.6662419658453,0.2,0.3676234599718033,2.098086173496368e-05,1135,8,True,True,True,True,True
100106368,random,4.918346349367509,1357.7348331844767,0.8,0.0,-4.552225443947086e-06,4295,8,False,True,True,True,False
