tic,P,Rp,b,seed,k,obs_R,obs_span,obs_nfreq,P_hat,period_match,epoch_match,seed_correct,t14_seeded,t0_hat,Lb,P_true,t0_true,t14_true,n_transits,gR,gW,recR,recW,baseline,sector_class
370233036,0.5,2,0.6,20260660,3,0.99926487772011,5.36378914715101,30,1.3409472867877523,False,False,False,0.05,1340.0639967383538,0.15,0.5,1343.5666134139312,0.0573417346093764,51,False,False,False,False,25.37882668733164,1-sector
115043101,0.5,2,0.0,20260661,3,0.9831177644155156,7.885908967647765,45,7.885908967647766,False,False,False,0.05,1349.1355271421237,0.15,0.5,1335.7683876348071,0.0829811772813585,51,False,False,False,False,25.284323774071026,1-sector
327939708,0.5,2,0.3,20260662,4,0.9727284608493728,16.976581241319764,98,1.1295130109263414,False,False,False,0.05,1373.5680103962677,0.15,0.5,1362.570403994304,0.0698764709133114,50,False,False,False,False,24.904509046148632,1-sector
231912935,0.5,2,0.3,20260665,8,0.8420468888173669,46.49017497481032,274,0.5161888131738436,False,False,False,0.1,1360.6931932442287,0.3,0.5,1331.52060058621,0.0575951202349338,108,False,False,False,False,53.716402562472695,2-sector
231668630,0.5,2,0.6,20260663,2,1.0,7.508271636784229,43,3.754135818392115,False,False,False,0.05,1336.1822766850512,0.15,0.5,1331.1819796226102,0.089251787252715,51,False,False,False,False,25.377333260834575,1-sector
325338671,0.5,2,0.0,20260664,3,0.9504886551854812,18.48302759378089,107,0.8750057205378454,False,False,False,0.4,1343.6821327726018,1.2000000000000002,0.5,1346.13475814432,0.0758221279194563,51,False,False,False,False,25.37735189520231,1-sector
207090424,0.5,2,0.0,20260667,2,1.0,8.034750950416992,46,8.034750950416992,False,False,False,0.05,1378.181143016898,0.15,0.5,1376.6732145297758,0.0877504548289458,50,False,False,False,False,24.90441455741984,1-sector
401986029,0.5,2,0.3,20260668,2,1.0,4.4929847113514825,24,4.4929847113514825,False,False,False,0.05,1366.7920745544825,0.15,0.5,1365.29612730713,0.0591846480194866,50,False,False,False,False,24.90380852765975,1-sector
355508749,0.5,2,0.0,20260673,2,0.9999981709869108,12.459623742238364,72,1.0382493047986114,False,False,False,0.05,1378.8212615686732,0.15,0.5,1359.8201100902684,0.0737350267844743,50,False,False,False,False,24.904085913473864,1-sector
219334689,0.5,2,0.6,20260672,5,0.9356510631731316,14.614070039261378,85,0.8118927799589654,False,False,False,0.8,1341.5233195975427,2.4000000000000004,0.5,1356.7564863047608,0.0285275003786227,100,False,False,False,False,49.989936651389144,2-sector
