tic,k,obs_R,obs_nfreq,ge_own,ge_fixed,gate_own,gate_fixed
207148330,10,0.6171217375191377,91,671,683,False,False
207174734,21,0.5309926969805822,284,117,122,False,False
207174980,9,0.6518266120289471,127,128,126,False,False
207177270,27,0.42187871241092345,267,783,769,False,False
219215835,6,0.8776306324741745,77,63,60,False,False
219217331,2,0.0,0,1000,1000,False,False
219218631,8,0.694217261276858,78,319,315,False,False
219221780,13,0.4946087101815414,82,790,776,False,False
206532826,32,0.37541222977721145,313,572,583,False,False
206532858,26,0.4152540022140928,312,644,641,False,False
206564625,20,0.5321793871176127,301,222,224,False,False
206609649,10,0.6528102475489954,134,443,456,False,False
218972061,12,0.6107880984899072,111,350,354,False,False
218973038,17,0.6539080244019428,138,31,32,False,False
219121412,17,0.5343447222883015,135,238,251,False,False
219141658,14,0.5663303317603292,128,501,496,False,False
219229293,10,0.624737594158563,89,351,351,False,False
219233386,9,0.6492073625130039,87,426,423,False,False
219234951,9,0.6266714329935478,85,454,446,False,False
219235147,2,1.0,22,120,0,False,True
219236564,7,0.8416483921243589,91,84,93,False,False
219238878,13,0.49310286505587664,81,841,840,False,False
219240217,8,0.7190725837588059,76,360,350,False,False
219246146,9,0.7215860499074277,86,331,323,False,False
219251169,7,0.8241575947607818,88,126,123,False,False
219255235,8,0.7123926924656445,92,582,585,False,False
219317391,9,0.6943556513209491,99,275,259,False,False
219318151,17,0.4694262640510145,133,613,623,False,False
220394125,11,0.6176124483693379,95,477,496,False,False
220394510,9,0.7403236398944893,93,222,222,False,False
220394878,8,0.6250819947573959,87,392,390,False,False
220397638,13,0.5350512869822663,85,453,456,False,False
220391299,11,0.6448888155780569,221,202,181,False,False
220391375,25,0.45530061250839804,284,562,565,False,False
220393352,7,0.6534391282170455,67,579,557,False,False
220393406,12,0.6080191792005527,97,614,612,False,False
219342752,34,0.29708495119259537,290,985,988,False,False
220388567,15,0.9178117064417224,137,0,0,True,True
220389925,26,0.4045351533401439,268,710,709,False,False
220390069,6,0.9190574928045243,80,11,9,False,True
219334470,16,0.45089753802121846,129,845,837,False,False
219334689,21,0.43970147701270523,280,407,402,False,False
219334997,28,0.4429830037853679,279,420,421,False,False
219337000,4,0.9944922170398226,115,86,81,False,False
220399756,6,0.756434514374472,73,347,341,False,False
220405171,45,0.35858409228970256,460,575,571,False,False
220407099,9,0.7837154672000258,179,308,287,False,False
220407213,8,0.6621012096921408,89,651,654,False,False
220436741,19,0.5392465715104552,284,188,190,False,False
220455309,3,0.9946907797521145,46,171,186,False,False
220459040,10,0.526658576287649,83,856,846,False,False
220482148,4,0.9799589414155121,36,184,139,False,False
220407530,18,0.46563151469061514,280,801,802,False,False
220408612,21,0.4825676038586941,267,401,397,False,False
220409421,9,0.7997443455843495,83,144,139,False,False
220413881,21,0.5146740314258186,286,112,124,False,False
220423277,10,0.7070125922518451,83,492,491,False,False
220430530,6,0.795542734926396,70,597,586,False,False
220430697,5,0.794666831207057,37,529,444,False,False
220431435,43,0.3614820256985011,431,726,720,False,False
220482527,14,0.5121968398987773,132,803,802,False,False
220485705,12,0.6732938252904009,140,59,62,False,False
220491450,8,0.6609971534528674,142,425,439,False,False
220509904,5,0.8403268054984987,105,531,534,False,False
220511824,4,0.9635334458346203,118,182,232,False,False
220595865,10,0.7023395026446567,95,106,90,False,False
224225541,2,0.941292004916594,112,328,389,False,False
224278972,16,0.46343326165747667,122,766,758,False,False
228507387,15,0.5460358198884627,142,466,479,False,False
228569826,9,0.8030695690784574,123,61,64,False,False
220414767,40,0.3343657399996858,445,819,816,False,False
220416628,10,0.7002497761988008,85,245,246,False,False
220421994,33,0.4729646975355747,449,92,93,False,False
220423078,7,0.7434176017045981,88,364,377,False,False
224281107,18,0.528361214637526,125,409,406,False,False
224281503,19,0.39260009134657037,132,964,965,False,False
224283342,27,0.9545953368651507,139,0,0,True,True
224284606,10,0.6813196407236236,127,604,596,False,False
224285142,25,0.4574065736053351,139,467,471,False,False
224285897,9,0.7022142997569325,102,255,246,False,False
228382006,9,0.7313877119927874,130,268,254,False,False
228383297,15,0.47006620481867734,125,732,735,False,False
229100316,20,0.6211152923130692,269,43,45,False,False
229112415,13,0.5756638267875802,124,476,475,False,False
230983203,14,0.6280257092669772,113,175,167,False,False
229012749,17,0.4802871518161893,132,670,658,False,False
229037487,12,0.5896398865655889,120,591,582,False,False
229039703,12,0.561572840020919,120,661,654,False,False
229051080,9,0.6934810328257758,97,227,213,False,False
231293370,2,0.9962062772181678,52,126,138,False,False
231627272,6,0.8419180629714245,120,349,352,False,False
231627290,13,0.6517252311288557,137,160,162,False,False
231630959,5,0.9047632851476927,119,296,307,False,False
231005223,10,0.6093790173181423,69,459,448,False,False
231009108,7,0.8717907102692568,102,266,270,False,False
231013930,8,0.8432603750496157,243,160,149,False,False
231020078,32,0.38344208451294204,287,571,588,False,False
231671734,15,0.9641575084852633,145,1,1,True,True
231701201,6,0.9704475666462437,129,131,174,False,False
231704059,13,0.6190967243552885,144,242,238,False,False
231704229,8,0.7056400500006076,97,509,489,False,False
231636691,7,0.8899728011296985,84,131,115,False,False
231663901,19,0.8222947374569521,141,0,0,True,True
231668630,11,0.6795494455527352,138,230,231,False,False
231670397,16,0.5420580886010729,135,346,343,False,False
231061445,31,0.3983502157950265,277,511,518,False,False
231061733,16,0.9931962637740878,282,0,0,True,True
231268284,8,0.7894756451596519,128,234,235,False,False
231280161,33,0.3328278305276777,280,948,948,False,False
231047005,26,0.37717485151293495,283,906,915,False,False
231048679,21,0.45427865013947877,269,526,526,False,False
231057252,24,0.4763836041816121,264,522,515,False,False
231059941,8,0.8328673147400543,261,85,85,False,False
231715395,8,0.7289752921296342,100,147,134,False,False
231825380,27,0.367449670011294,295,944,940,False,False
231831114,33,0.4215478266027275,288,350,344,False,False
231023707,34,0.3269076812382632,289,982,983,False,False
231044412,21,0.5535694367591943,263,153,145,False,False
231045282,24,0.47651281494191,275,441,434,False,False
231046372,26,0.39376129366613366,278,728,726,False,False
237356492,5,0.8120446977103166,49,550,517,False,False
237356930,7,0.6586205547585208,61,692,671,False,False
237356985,7,0.7496777911804744,81,338,337,False,False
237358181,12,0.48783458077049624,71,704,688,False,False
231831315,36,0.37415895448075087,297,672,683,False,False
231832497,16,0.5221595154586588,315,575,577,False,False
231833204,56,0.22641175190692708,245,990,980,False,False
231839537,13,0.6247488742215033,275,545,542,False,False
231840159,5,0.8990113113128771,184,370,341,False,False
231840839,18,0.5964118184599535,286,356,360,False,False
231845790,31,0.4781711568283087,307,60,59,False,False
231853796,31,0.39116169605732654,311,674,676,False,False
234497476,11,0.9507209517877173,301,8,14,True,False
234504902,33,0.3553495104572266,315,795,799,False,False
234525922,12,0.5928068734557346,139,349,342,False,False
237340658,3,0.9459746052092446,18,415,307,False,False
240849795,14,0.6442197764613864,119,111,104,False,False
241393007,15,0.49203120807119405,97,849,860,False,False
241393039,26,0.36822063773665625,97,327,326,False,False
241444142,8,0.6136498257213413,86,633,646,False,False
231862051,13,0.6198438020808038,120,205,205,False,False
231867105,28,0.42930355935053877,297,386,384,False,False
231912935,31,0.3688465586324423,311,728,735,False,False
233959273,23,0.4491966383540671,287,600,595,False,False
233959314,45,0.3349306089617239,458,835,835,False,False
233961272,17,0.6492694681237217,432,174,172,False,False
234280067,13,0.5186370140199236,135,643,635,False,False
234291032,15,0.4639609245206149,138,691,687,False,False
237879824,25,0.4804667550489573,301,235,231,False,False
237883766,15,0.5426261474219826,304,505,505,False,False
237886259,13,0.5956678584205334,137,411,429,False,False
237886434,12,0.6757551186798609,281,315,321,False,False
241577342,2,0.8968136817415612,58,564,578,False,False
241765380,11,0.5363040445683824,93,702,708,False,False
24186466,11,0.5670556794969523,95,536,548,False,False
24225968,10,0.7245936460811392,99,247,256,False,False
24251461,12,0.6667350390437295,98,374,387,False,False
24251953,9,0.6721318035548879,93,418,430,False,False
24269255,8,0.6948516948015702,86,390,383,False,False
24270027,12,0.6494529172384738,81,238,229,False,False
237906842,29,0.3739686820406336,297,634,625,False,False
237912376,30,0.4969010441362811,310,86,79,False,False
238926393,33,0.47055795576622006,311,76,74,False,False
240764987,45,0.9860400343316508,140,0,0,True,True
246820769,18,0.4494754770477358,137,711,705,False,False
246822906,15,0.6265976683309499,137,183,198,False,False
246848176,3,0.8893695651712724,11,447,185,False,False
246848355,5,0.8709020469659523,76,226,209,False,False
248380067,9,0.5911802088226786,85,847,841,False,False
